Memory Length;500;;;;;Memory Length;500;;;
Trigger Level;600mV  ;;;;;Trigger Level;600mV  ;;;
Source;CH2;;;;;Source;CH2;;;
Vertical Position;-38;;;;;Vertical Position;-38;;;
Vertical Offset;0;;;;;Vertical Offset;0;;;
Time Base;2.5ms;;;;;Time Base;2.5ms;;;
Volts;2V;;;;;Volts;2V;;;
Probe;X 1;;;;;Probe;X 1;;;
Coupling;DC;;;;;Coupling;DC;;;
Horizontal View;Main;;;;;Horizontal View;Main;;;
Waveform Last Dot Address;500;;;;;Waveform Last Dot Address;500;;;
Horizontal;15.80ms ;;;;;Horizontal;15.80ms ;;;
Time;17-Apr-26 10:37;;;;;Time;17-Apr-26 10:37;;;
Sampling Period;100.000us;;;;;Sampling Period;100.000us;;;
Sampling Mode;Equivalent Time;;;;;Sampling Mode;Equivalent Time;;;
Waveform Data;;;;;;Waveform Data;;;;
0;;;;;;0;;;0;0,0352
55;;;;;;55;;;88;0,0353
54;;;;;;54;;;86,4;0,0354
55;;;;;;55;;;88;0,0355
56;;;;;;56;;;89,6;0,0356
2;;;;;;2;;;3,2;0,0357
56;;;;;;56;;;89,6;0,0358
56;;;;;;56;;;89,6;0,0359
56;;;;;;56;;;89,6;0,036
56;;;;;;56;;;89,6;0,0361
1;;;;;;1;;;1,6;0,0362
54;;;;;;54;;;86,4;0,0363
2;;;;;;2;;;3,2;0,0364
1;;;;;;1;;;1,6;0,0365
55;;;;;;55;;;88;0,0366
0;;;;;;0;;;0;0,0367
55;;;;;;55;;;88;0,0368
0;;;;;;0;;;0;0,0369
1;;;;;;1;;;1,6;0,037
55;;;;;;55;;;88;0,0371
2;;;;;;2;;;3,2;0,0372
55;;;;;;55;;;88;0,0373
0;;;;;;0;;;0;0,0374
1;;;;;;1;;;1,6;0,0375
-2;;;;;;-2;;;-3,2;0,0376
0;;;;;;0;;;0;0,0377
0;;;;;;0;;;0;0,0378
0;;;;;;0;;;0;0,0379
0;;;;;;0;;;0;0,038
2;;;;;;2;;;3,2;0,0381
0;;;;;;0;;;0;0,0382
1;;;;;;1;;;1,6;0,0383
1;;;;;;1;;;1,6;0,0384
0;;;;;;0;;;0;0,0385
1;;;;;;1;;;1,6;0,0386
0;;;;;;0;;;0;0,0387
-50;;;;;;-50;;;-80;0,0388
2;;;;;;2;;;3,2;0,0389
0;;;;;;0;;;0;0,039
-50;;;;;;-50;;;-80;0,0391
0;;;;;;0;;;0;0,0392
-51;;;;;;-51;;;-81,6;0,0393
1;;;;;;1;;;1,6;0,0394
1;;;;;;1;;;1,6;0,0395
-51;;;;;;-51;;;-81,6;0,0396
0;;;;;;0;;;0;0,0397
-51;;;;;;-51;;;-81,6;0,0398
1;;;;;;1;;;1,6;0,0399
-51;;;;;;-51;;;-81,6;0,04
-51;;;;;;-51;;;-81,6;0,0401
0;;;;;;0;;;0;0,0402
-50;;;;;;-50;;;-80;0,0403
2;;;;;;2;;;3,2;0,0404
-50;;;;;;-50;;;-80;0,0405
-50;;;;;;-50;;;-80;0,0406
1;;;;;;1;;;1,6;0,0407
-51;;;;;;-51;;;-81,6;0,0408
-51;;;;;;-51;;;-81,6;0,0409
-51;;;;;;-51;;;-81,6;0,041
-50;;;;;;-50;;;-80;0,0411
-50;;;;;;-50;;;-80;0,0412
-51;;;;;;-51;;;-81,6;0,0413
-51;;;;;;-51;;;-81,6;0,0414
-51;;;;;;-51;;;-81,6;0,0415
-51;;;;;;-51;;;-81,6;0,0416
2;;;;;;2;;;3,2;0,0417
-51;;;;;;-51;;;-81,6;0,0418
-50;;;;;;-50;;;-80;0,0419
-51;;;;;;-51;;;-81,6;0,042
-50;;;;;;-50;;;-80;0,0421
-51;;;;;;-51;;;-81,6;0,0422
-50;;;;;;-50;;;-80;0,0423
-51;;;;;;-51;;;-81,6;0,0424
-51;;;;;;-51;;;-81,6;0,0425
-51;;;;;;-51;;;-81,6;0,0426
-50;;;;;;-50;;;-80;0,0427
-51;;;;;;-51;;;-81,6;0,0428
-50;;;;;;-50;;;-80;0,0429
-50;;;;;;-50;;;-80;0,043
-51;;;;;;-51;;;-81,6;0,0431
-50;;;;;;-50;;;-80;0,0432
-51;;;;;;-51;;;-81,6;0,0433
-50;;;;;;-50;;;-80;0,0434
-51;;;;;;-51;;;-81,6;0,0435
-51;;;;;;-51;;;-81,6;0,0436
-51;;;;;;-51;;;-81,6;0,0437
-51;;;;;;-51;;;-81,6;0,0438
-51;;;;;;-51;;;-81,6;0,0439
-51;;;;;;-51;;;-81,6;0,044
-51;;;;;;-51;;;-81,6;0,0441
2;;;;;;2;;;3,2;0,0442
-51;;;;;;-51;;;-81,6;0,0443
-51;;;;;;-51;;;-81,6;0,0444
-51;;;;;;-51;;;-81,6;0,0445
-51;;;;;;-51;;;-81,6;0,0446
-51;;;;;;-51;;;-81,6;0,0447
-51;;;;;;-51;;;-81,6;0,0448
-50;;;;;;-50;;;-80;0,0449
-50;;;;;;-50;;;-80;0,045
-51;;;;;;-51;;;-81,6;0,0451
-50;;;;;;-50;;;-80;0,0452
3;;;;;;3;;;4,8;0,0453
-51;;;;;;-51;;;-81,6;0,0454
-51;;;;;;-51;;;-81,6;0,0455
3;;;;;;3;;;4,8;0,0456
-51;;;;;;-51;;;-81,6;0,0457
3;;;;;;3;;;4,8;0,0458
-51;;;;;;-51;;;-81,6;0,0459
-51;;;;;;-51;;;-81,6;0,046
3;;;;;;3;;;4,8;0,0461
-52;;;;;;-52;;;-83,2;0,0462
3;;;;;;3;;;4,8;0,0463
-51;;;;;;-51;;;-81,6;0,0464
7;;;;;;7;;;11,2;0,0465
2;;;;;;2;;;3,2;0,0466
-51;;;;;;-51;;;-81,6;0,0467
2;;;;;;2;;;3,2;0,0468
-52;;;;;;-52;;;-83,2;0,0469
3;;;;;;3;;;4,8;0,047
3;;;;;;3;;;4,8;0,0471
-51;;;;;;-51;;;-81,6;0,0472
3;;;;;;3;;;4,8;0,0473
3;;;;;;3;;;4,8;0,0474
2;;;;;;2;;;3,2;0,0475
3;;;;;;3;;;4,8;0,0476
3;;;;;;3;;;4,8;0,0477
3;;;;;;3;;;4,8;0,0478
2;;;;;;2;;;3,2;0,0479
2;;;;;;2;;;3,2;0,048
3;;;;;;3;;;4,8;0,0481
2;;;;;;2;;;3,2;0,0482
4;;;;;;4;;;6,4;0,0483
2;;;;;;2;;;3,2;0,0484
3;;;;;;3;;;4,8;0,0485
3;;;;;;3;;;4,8;0,0486
54;;;;;;54;;;86,4;0,0487
2;;;;;;2;;;3,2;0,0488
3;;;;;;3;;;4,8;0,0489
3;;;;;;3;;;4,8;0,049
3;;;;;;3;;;4,8;0,0491
54;;;;;;54;;;86,4;0,0492
3;;;;;;3;;;4,8;0,0493
54;;;;;;54;;;86,4;0,0494
-3;;;;;;-3;;;-4,8;0,0495
3;;;;;;3;;;4,8;0,0496
54;;;;;;54;;;86,4;0,0497
2;;;;;;2;;;3,2;0,0498
54;;;;;;54;;;86,4;0,0499
55;;;;;;55;;;88;0,05
